Vmag,B-V
10.852,0.37
13.896,0.885
18.302,1.531
16.869,1.357
16.788,1.344
16.784,1.293
15.84,1.19
17.602,1.409
15.448,1.215
18.121,1.574
18.141,1.65
14.061,0.989
13.993,0.978
15.464,1.137
11.625,0.337
12.423,0.307
13.514,0.532
10.213,0.204
16.944,1.301
18.434,1.646
17.801,1.384
17.536,1.517
17.546,1.369
16.111,1.448
12.375,0.284
12.65,0.366
16.35,1.28
14.293,0.573
16.285,1.314
18.153,1.706
15.258,0.936
18.284,1.597
16.059,1.22
18.449,1.593
17.315,1.257
17.631,1.484
17.262,1.414
15.995,1.319
17.391,1.386
8.391,0.136
18.03,1.503
17.835,1.529
12.034,0.257
15.556,1.251
17.991,1.191
18.772,1.543
17.806,1.45
15.919,1.284
17.893,1.419
18.234,1.567
9.575,0.18
17.687,1.377
13.101,0.402
16.055,1.298
17.343,1.409
18.64,1.465
18.484,1.504
7.569,0.164
16.598,1.306
14.861,1.069
13.617,0.772
11.88,0.262
16.579,1.442
16.571,1.408
15.77,1.098
17.727,1.513
16.995,1.205
15.078,1.008
13.225,0.553
16.76,1.383
16.345,1.331
17.146,1.525
15.065,1.129
12.842,0.329
18.072,1.731
18.388,1.533
9.767,0.193
18.153,1.418
17.154,1.402
17.024,1.376
13.563,0.429
12.338,0.468
17.276,1.387
14.197,0.533
18.198,1.373
11.876,0.265
17.559,1.777
15.792,0.906
13.527,0.498
13.783,0.415
16.905,1.369
14.772,1.138
16.503,1.407
17.21,1.421
18.071,1.483
12.43,0.306
7.57,0.186
11.722,0.317
12.925,0.371
17.388,1.4
9.158,0.176
14.937,0.992
18.195,1.63
17.978,1.74
18.117,1.59
17.588,1.497
16.71,1.41
15.68,1.222
13.974,0.678
17.659,1.461
17.842,1.449
14.587,1.012
17.849,1.266
14.761,0.905
9.275,0.198
17.017,1.377
18.169,1.771
10.907,0.254
17.599,1.523
17.882,1.441
11.459,0.286
11.775,0.265
9.457,0.145
17.03,1.314
18.58,1.335
17.802,1.421
17.466,1.476
18.263,1.651
18.505,1.537
16.592,1.426
10.017,0.193
9.421,0.135
9.512,0.156
15.974,1.216
13.245,0.631
16.786,1.424
13.192,0.354
13.88,0.551
9.887,0.197
18.083,1.472
18.085,1.609
17.835,1.455
15.86,1.179
18.419,1.572
17.425,1.395
15.749,1.36
16.635,1.331
12.216,0.402
9.93,0.262
15.123,1.13
12.77,0.293
16.363,1.242
9.424,0.16
18.119,1.568
17.481,1.392
17.388,1.581
17.869,1.373
17.149,1.511
17.751,1.499
6.088,0.138
13.167,0.366
17.102,1.498
18.201,1.47
10.599,0.235
18.63,1.432
18.401,1.591
10.157,0.216
17.655,1.427
16.472,1.305
18.145,1.373
18.647,1.604
15.05,0.934
14.651,1.033
16.905,1.391
12.757,0.373
13.23,0.349
17.792,1.627
18.306,1.654
18.62,1.504
17.799,1.625
14.69,0.719
10.331,0.335
13.453,0.412
16.317,1.34
14.167,0.806
17.591,1.431
13.797,0.708
17.948,1.554
13.614,0.575
16.077,1.261
18.582,1.63
18.074,1.548
14.475,0.999
18.445,1.587
18.877,1.888
17.695,1.489
17.901,1.561
11.573,0.298
18.44,1.779
18.78,1.444
17.025,1.526
15.55,1.071
19.479,1.667
18.236,1.401
14.159,0.672
18.666,1.764
18.723,1.819
13.423,0.447
17.533,1.463
16.556,1.235
6.597,0.186
19.029,1.713
17.69,1.537
15.876,1.369
11.175,0.259
19.552,2.102
18.48,1.699
19.52,1.844
18.985,1.741
9.708,0.21
11.178,0.319
18.901,1.532
17.82,1.508
18.442,1.648
16.632,1.448
19.058,1.482
19.002,1.707
16.304,1.285
19.736,2.123
16.266,1.622
17.506,1.557
18.058,1.473
19.16,1.778
18.945,1.627
11.419,0.3
14.202,1.639
19.207,1.317
15.37,1.16
17.009,1.493
19.567,1.904
19.07,1.695
19.207,1.812
18.169,1.588
19.187,1.676
14.971,1.036
7.497,0.181
19.205,1.565
18.075,1.508
19.643,1.794
18.289,1.633
18.19,1.55
16.151,1.129
19.802,1.926
20.352,1.35
18.206,1.489
18.801,1.64
19.287,1.597
12.763,0.377
16.517,1.279
19.076,1.852
11.827,0.283
16.852,1.348
17.156,1.556
19.966,1.883
19.286,1.731
19.174,1.78
18.422,1.57
18.867,1.668
12.685,0.459
12.869,0.352
16.243,1.404
19.484,1.768
18.458,1.747
11.65,0.313
19.66,2.024
19.083,1.767
17.922,1.518
17.448,1.577
18.4,1.597
17.929,1.53
18.691,1.637
18.662,1.668
18.749,1.749
18.331,1.434
7.749,0.225
16.529,1.423
17.242,1.461
11.034,0.349
13.217,0.471
18.051,1.702
19.007,1.736
19.847,1.225
17.938,1.359
18.644,1.701
17.223,1.438
19.93,1.784
14.96,1.243
18.843,1.035
18.941,1.721
17.634,1.455
17.01,1.459
18.995,1.732
19.682,1.746
19.038,1.667
18.192,1.542
19.174,1.78
16.407,1.172
18.839,1.793
19.666,1.821
16.935,1.379
20.228,1.176
11.46,0.289
17.573,1.544
12.344,0.311
11.969,0.326
14.309,1.033
20.155,1.406
19.507,1.789
13.698,0.499
16.692,1.363
16.359,1.475
17.384,1.511
16.334,1.468
11.765,0.335
12.577,0.47
18.933,1.751
10.055,0.218
19.389,1.7
18.572,1.644
17.983,1.69
18.534,1.718
12.871,0.561
19.571,1.769
17.982,1.628
15.875,1.207
11.488,0.414
19.688,1.818
19.628,1.895
19.264,1.722
18.938,1.601
16.213,1.27
18.077,1.666
17.829,1.558
12.299,0.311
11.217,0.276
18.721,1.687
13.59,0.558
12.442,0.391
17.002,1.342
19.996,1.629
13.867,0.55
16.913,1.451
12.152,0.298
16.478,1.267
18.345,1.702
19.27,1.769
15.944,1.251
18.749,1.677
20.521,1.156
13.969,0.719
17.102,1.539
19.648,1.895
16.402,2.182
19.234,1.759
