chi,idade,dist
5.1690413260488475,9.2,13.1
5.290011499158095,9.2,13.15
5.476641060208923,9.2,13.2
5.663824429542593,9.2,13.05
5.689562321384643,9.2,13.0
5.79896118562112,9.2,12.95
5.819879362040314,9.2,13.25
6.219209669588816,9.2,13.3
6.483627171560901,9.2,12.9
6.684459087871683,9.2,13.35
7.183374069852139,9.3,12.85
7.702460880933661,9.2,12.85
7.999639703110069,9.3,12.8
8.786115371214041,9.2,12.8
8.937270649681054,9.3,12.75
9.37857139283377,9.2,12.75
10.115646806481747,9.3,12.7
10.618145658001147,9.3,13.05
10.654879392832845,9.2,12.7
10.719740076670298,9.3,13.0
10.832976499142495,9.3,13.1
11.129464493617231,9.3,12.95
11.17723520184416,9.3,12.65
11.238713553267402,9.3,13.15
11.556046831419511,9.3,12.9
11.959670017249614,9.3,13.2
12.245795401497002,9.2,13.4
12.620677611677491,9.2,12.65
12.674680689044846,9.3,12.6
12.95778144041939,9.3,13.25
13.651187874906784,9.2,12.6
14.095876254794224,9.3,12.55
14.140489565117678,9.2,13.45
14.232909376135899,9.3,13.3
14.889049269288476,9.1,13.2
14.906112059767041,9.1,13.15
14.965182245617088,9.1,13.1
15.066284173793433,9.1,13.3
15.139692719147007,9.2,12.55
15.15929668272997,9.1,13.25
15.240132501751784,9.2,13.5
15.496916273429221,9.1,13.05
15.571573136169205,9.1,13.0
15.582552698965936,9.1,13.35
15.618601494047748,9.1,12.9
15.646010875159439,9.3,13.35
15.717226431026422,9.3,12.5
15.788333010406056,9.1,12.95
16.109292253850303,9.1,13.4
16.772781337415605,9.1,13.45
16.840290703578543,9.1,12.85
17.132382339165463,9.1,12.8
17.261621475499414,9.3,13.4
17.341330755271155,9.2,12.5
17.446478065810812,9.1,13.5
17.829240982046,9.1,12.75
18.30598674401527,9.1,12.7
18.475896835678128,9.1,12.65
18.73218755610059,9.4,12.5
18.73863445437056,9.1,12.6
18.873134482832718,9.3,13.45
19.080900425932857,9.1,12.55
19.702430165923026,9.4,12.9
19.727688670712148,9.1,12.5
19.736851912656647,9.4,12.85
19.845018550284614,9.4,12.8
20.120719650462107,9.4,12.95
20.14036921836401,9.4,12.75
20.640742313752796,9.4,13.0
20.701302053302243,9.3,13.5
20.769466481808365,9.4,12.7
21.385779680081946,9.4,12.65
21.40376256199047,9.4,13.05
21.901267486384356,9.0,12.6
21.957147993356106,9.4,12.55
22.00170755740833,9.0,12.55
22.02661142062467,9.0,12.65
22.1954038896789,9.4,13.1
22.321233964148547,9.4,12.6
22.384245347713925,9.0,12.7
22.399161196751006,9.0,12.5
22.913732063637184,9.0,12.75
22.9149356853103,9.4,13.15
23.629385063985488,9.4,13.2
23.66226428073727,9.0,12.8
24.54700383904022,9.0,12.85
25.630640531084858,9.0,12.9
26.307122334998105,8.9,12.6
26.438109343293306,8.9,12.55
26.52073777149945,8.9,12.65
26.84161032429486,9.0,12.95
27.070506571787668,8.9,12.5
27.165130577474965,8.9,12.7
27.665992559815326,9.0,13.0
28.0281801676052,8.9,12.75
28.3399452115836,9.0,13.05
28.786564742788205,9.4,13.25
29.17547089877105,8.9,12.8
29.480361610540015,9.0,13.15
29.526673212327267,9.0,13.1
30.688774028328634,8.9,12.85
31.172430240664433,9.0,13.2
31.451796222833465,9.4,13.3
32.16816504078858,8.9,12.9
32.215049522191904,9.0,13.25
32.3098044688911,9.4,13.35
33.14448266724792,9.0,13.35
33.1693783313849,9.0,13.3
34.07787335679156,8.9,12.95
34.81836246843839,9.4,13.4
35.16679059565122,9.0,13.4
36.09875368959138,8.9,13.0
36.26931722647737,9.0,13.45
37.71904918980448,9.4,13.45
37.95685147357733,9.0,13.5
38.25388176160873,8.9,13.05
40.099976903153056,9.4,13.5
40.97169817731456,8.9,13.1
43.609483923189565,8.9,13.15
46.42372301589203,8.9,13.2
48.30640658758723,8.9,13.25
50.902883943282646,8.9,13.3
53.71798612336955,8.9,13.35
54.122607856247846,8.9,13.4
56.74854880615299,8.9,13.45
59.682135284873034,8.9,13.5
